Id,BirthDate,DeathDate,SSN,Drivers,Passport,Prefix,First,Middle,Last,Suffix,Maiden,Marital,Race,Ethnicity,Gender,BirthPlace,Address,City,State,County,FIPS County Code,Zip,Lat,Lon,Healthcare_Expenses,Healthcare_Coverage,Income,phone,email,mrn,source_facility_id
c4b8691b-a298-4ec6-8975-cd781f153c4d,1982-02-06,,263-30-5484,S50541003,,Ms.,Erin,Anthony,Torres,,,W,other,hispanic,female,North Kristina TX US,4530 York Summit,Austin,TX,Travis,33902,78702,-65.541218,-166.451237,135071.15,3882.53,40633,001-801-357-5749x07062,johnsonjamie@example.com,330721217,330102
b1f6e859-67bc-4855-bbdd-54a915e152dc,1948-07-25,,608-27-2876,S36159037,,Ms.,Nichole,David,Gibbs,,Hernandez,D,native,nonhispanic,female,Kevinburgh GA US,38849 Gray Spur Suite 199,Savannah,GA,Chatham,08757,31404,4.280735,7.958076,3250.32,8375.01,40631,692-806-2377x6574,andrew55@example.org,030735935,030301
ca51ea57-ff16-4c22-9c65-b5e80d3d71fc,1968-07-28,,154-40-0616,S32620106,X58945037,Mr.,Karl,Julian,Baker,,,S,white,nonhispanic,male,Barnettfort TX US,24795 Day Light Apt. 564,Austin,TX,Travis,28633,78702,-27.061243,-49.224378,58662.81,12572.39,80491,+1-420-439-8106x5192,ele@example.org,330729293,330101
dd1f4af0-a726-4949-91ec-7aa7602d4c42,1994-06-02,,835-98-9712,S89123743,X54423780,Mr.,Daniel,,Hensley,,,S,black,nonhispanic,male,Port Danny IL US,149 Frank Fords Apt. 508,Chicago,IL,Cook,18711,60612,-35.902351,-15.013179,16242.23,118291.1,50733,(620)895-2072x44836,juanreed@example.com,030743333,030301
724b2fd7-da8a-4d53-85db-4fc41cac7878,2007-05-07,,151-80-7327,S21705771,,Mr.,Dakota,,Figueroa,,,W,white,hispanic,male,East Calebshire TX US,1235 Susan Mews Apt. 136,Austin,TX,Travis,13782,78702,3.13655,-172.397443,45412.99,28653.76,128662,896.791.7912x0807,butlerrichard@example.org,140890322,140401
1baeb387-84e5-405c-839e-81230579a3b5,1950-07-01,,676-72-9884,S89958060,X34290999,Mr.,Mitchell,Elizabeth,Bates,,,,white,nonhispanic,male,North Martin TX US,8006 Thompson Village,Austin,TX,Travis,49059,78702,66.530999,108.878706,24667.09,6112.02,40093,001-491-571-6242x0662,linda71@example.com,330540181,330102
a5f9f95d-e0c5-4bd9-94ef-8db29c991fde,1990-07-04,,624-20-7024,S44437074,,Mr.,Stephen,Matthew,Huerta,,,W,black,nonhispanic,male,Burgessmouth MA US,44802 Armstrong Ridges,Boston,MA,Suffolk,50764,02118,-20.149332,-110.820198,9131.38,10075.15,68283,861-596-5579x96239,hammondjoshua@example.com,140272743,140401
a4c4fb01-564e-4db1-bfbe-50944836099b,1948-04-05,,605-24-5920,S97773687,,Mr.,George,,Montgomery,,,D,black,nonhispanic,male,East Sean MA US,2730 Hall Pike Apt. 354,Boston,MA,Suffolk,55227,02215,55.793641,-68.405025,235107.87,17643.72,50930,200.659.8674x677,patriciajames@example.org,050951230,050201
a84d4973-793d-4594-b95d-915e5ac68c4f,1975-12-09,,605-44-5422,S57479511,,Mr.,Shawn,,Lewis,,,,black,nonhispanic,male,East Mariofurt IL US,6881 Russell Cliffs Suite 579,Chicago,IL,Cook,43382,60612,53.910193,107.385709,13957.48,7895.44,30525,6756544747,nhall@example.net,140739088,140401
fe29b4bc-e13e-4cff-98d6-e100115f14d5,1940-07-17,,220-88-5174,S87138496,,Mr.,Daniel,Luis,Bray,,,W,white,nonhispanic,male,New Laura GA US,878 Garcia Roads Apt. 591,Savannah,GA,Chatham,48663,31404,73.670123,110.958693,23613.38,8586.09,50918,228-394-2376x52384,ncarney@example.com,330549676,330101
b67c958c-a23b-49c7-afd7-8d6dd1c37013,1982-09-13,,228-93-9179,S62428072,X83061852,Ms.,Sandra,Tiffany,Diaz,,,W,black,nonhispanic,female,South Michelle MA US,26580 Emily Centers,Boston,MA,Suffolk,16356,02215,84.920235,46.556308,34715.32,15838.15,25684,+1-500-448-9569x95984,johnunderwood@example.net,330904850,330102
e8a0c589-dd5e-46c1-bb6b-7a73f6add04e,1961-03-05,,022-89-6588,S29402060,,Mr.,Gary,Eric,Villanueva,,,,white,nonhispanic,male,Vincentfurt GA US,267 Jennifer Spurs,Savannah,GA,Chatham,39395,31404,24.340239,96.017733,14473.11,28129.87,74562,+1-767-630-9241x57902,sandralong@example.com,330750444,330102
6b19927a-dc96-4c77-b8bd-f38800e150a3,1959-02-09,,655-59-6179,S85780028,,Mr.,Benjamin,,Ortiz,,,M,white,hispanic,male,East Christine MA US,8446 Montes Heights,Boston,MA,Suffolk,31673,02215,30.49888,-94.908977,17731.44,10707.62,15726,640-605-7694,uallen@example.net,330894095,330102
5a0ac942-dddd-436c-9f66-e0cc49f574b8,1927-12-29,,016-37-4056,S77534151,,Mr.,Charles,Benjamin,Chan,,,M,white,nonhispanic,male,South Jorgeburgh GA US,30467 Elizabeth Row Suite 038,Savannah,GA,Chatham,47119,31404,-84.595427,-45.96433,32213.05,7229.41,71419,6266801184,sanchezcindy@example.com,140773201,140401
0aef9905-162d-400b-a55b-4454100e8f55,1953-01-27,,663-15-6809,S43082956,X93535820,Mr.,James,,Peterson,,,S,white,hispanic,male,Careyberg CA US,01231 Tyler Mountains Suite 886,Oakland,CA,Alameda,10295,94609,36.915106,-156.323876,192094.45,24701.27,160668,(279)716-5640,vjohnson@example.com,330667090,330102
e656681a-c0b5-4f0c-b0ca-2f2826b683de,1926-02-06,,043-35-2089,S67909192,,Ms.,Shannon,James,Smith,,,S,asian,nonhispanic,female,Lake Brian GA US,078 Kimberly Crossroad Suite 960,Savannah,GA,Chatham,03379,31404,-17.775198,174.403445,6062.91,17609.05,108605,+1-606-758-7679,john88@example.net,330862119,330101
15fc1d2d-a1a3-4279-933e-904cc9497460,1943-05-14,,595-67-1295,S81206451,,Ms.,Amber,Jeffrey,Gonzales,,,S,black,nonhispanic,female,New Eric MA US,1491 Beltran Fort,Boston,MA,Suffolk,13938,02118,39.44637,114.494328,24827.46,7879.32,34182,267.870.0397,martinmichael@example.com,330674009,330102
779278ac-2437-4206-b701-bb9ceefb7032,1928-05-10,,109-11-8196,S17180634,,Ms.,Diane,John,Lopez,,,,other,nonhispanic,female,Johnsonshire AZ US,452 Alvarado Lock,Phoenix,AZ,Maricopa,07684,85006,19.347497,-52.774699,39398.88,7459.31,260088,982.868.1392x63032,robert92@example.com,330369824,330101
19bc78ff-157b-481d-b5af-1161e3e697d3,1951-12-02,,040-75-9422,S10171190,X30652080,Mr.,Tony,,Bradshaw,,,W,white,nonhispanic,male,West Gregoryfort MA US,62145 James Walks Suite 953,Boston,MA,Suffolk,54922,02215,63.530009,-9.500589,7411.5,10730.61,40925,236-636-0813,mayobrian@example.com,330169171,330102
a3e4b27f-d608-4d25-aea6-6313a1667335,1973-09-10,,376-35-7526,S45234659,,Ms.,Jennifer,Brandon,Hernandez,,,,black,hispanic,female,Gouldbury CA US,40149 Jennifer Ports Suite 190,Oakland,CA,Alameda,10182,94609,19.622065,-71.470033,89636.09,110848.37,60618,226-534-4565,jessicacollins@example.com,140216715,140401
e78904bc-b323-4486-8408-8b7b56670b76,1965-12-10,,246-56-3774,S60007049,,Ms.,Judith,,Brooks,,,S,white,nonhispanic,female,New Marvin IL US,845 Christine Ports Suite 394,Chicago,IL,Cook,23656,60612,-30.428414,118.607043,14058.75,23969.55,42416,966-368-4512x4730,stephen23@example.org,140578441,140401
eb9d67d2-256b-47c5-8d7e-0fd936f0a734,1947-10-19,,729-87-3381,S51225976,X34976052,Mr.,Matthew,Tracy,Middleton,,,M,white,nonhispanic,male,Powellburgh MA US,4883 Barnett Key,Boston,MA,Suffolk,21127,02215,-21.769527,-69.228608,79404.0,2278.29,35548,447-226-6911,austinwright@example.net,030335785,030301
ba8bf782-f779-4ab5-b107-dfb1990fec8a,1979-02-25,,446-81-6416,S44584867,,Ms.,Mary,Brittany,Edwards,,Wilson,S,white,hispanic,female,West Justinberg MA US,889 David Crescent Suite 249,Boston,MA,Suffolk,43812,02215,78.412905,-116.179302,21514.42,16171.58,54539,375-275-5351x540,lstone@example.org,050709790,050201
31d4d5d4-21b7-4ba6-92b1-b53d0652e3ff,1949-05-08,,158-02-1106,S68950467,X32852952,Ms.,Erica,Ralph,Gomez,,,M,other,nonhispanic,,Turnerburgh CA US,92276 Tyler Cove,Oakland,CA,Alameda,03215,94609,33.543123,154.95422,20383.97,14140.61,52188,+1-295-584-7279,markcontreras@example.org,140145501,140401
66723665-be52-43b1-9e5c-efb9555cb452,1959-04-03,,573-71-8686,S82254375,,Ms.,Amy,,Walker,,Taylor,S,white,nonhispanic,female,Spearsside AZ US,1197 Tiffany Throughway Suite 669,Phoenix,AZ,Maricopa,17458,85006,78.216076,135.176032,13713.36,18894.63,26789,938-851-7543x7411,jonathan67@example.net,330842241,330102
ccabc6c6-d196-4ab9-aba6-83580a05768a,1935-10-11,,062-02-8178,S31938510,X38014866,Ms.,Tammy,,Smith,,,D,white,nonhispanic,female,North Sharon MA US,271 Joshua Stravenue,Boston,MA,Suffolk,19489,02215,-72.663447,-124.410366,28254.8,4184.75,50339,001-321-487-5109x0927,hklein@example.net,330160278,330102
f2b17e60-4081-4769-bf95-a142e43820bf,1946-08-17,,548-64-0536,S27422073,X92599703,Ms.,Lisa,Brian,Yang,,,M,black,hispanic,female,Port Amberstad AZ US,2881 Vargas Burgs Apt. 340,Phoenix,AZ,Maricopa,27880,85006,-48.580579,-8.017923,123415.4,39460.39,31089,(503)640-0839x29040,april35@example.net,330458154,330102
063cea69-c485-4944-a338-4e8d18cc2137,1951-06-25,,827-73-9629,S28943393,,Ms.,Erica,Michael,Murphy,,Lopez,M,black,nonhispanic,female,Kennedybury GA US,3816 Bonnie Spur,Savannah,GA,Chatham,54102,31404,29.008443,-86.144984,69641.75,36938.61,105098,001-678-879-4250x331,suzanne04@example.com,050940596,050201
e5a15e49-8755-449c-a0c4-fb0adf6362fe,1970-03-10,,403-45-5242,S79198175,X34155387,Mr.,Tyler,Robert,Martinez,,,M,white,nonhispanic,male,New Kevinton MA US,7406 Erica Cliff Suite 993,Boston,MA,Suffolk,23458,02215,-10.874237,142.120334,52768.85,24057.58,63239,851-753-1572,stacey97@example.com,030755359,030301
b09cb7b9-abdf-4695-b5bc-9e737aa31fc2,1960-09-18,,161-03-5187,S93209936,,Ms.,Debra,,Nguyen,,,,asian,nonhispanic,female,Parktown MA US,9312 Romero Light Apt. 023,Boston,MA,Suffolk,44826,02215,31.208301,-29.079912,109297.62,18558.11,71862,255-498-3943,williemccarthy@example.com,330530004,330102
000b124d-5a6f-4d32-ac89-f15444da58e4,1925-03-24,,102-37-5858,S47538662,,Mr.,James,Christopher,Leblanc,,,D,white,nonhispanic,male,Bradleyfort MA US,7743 Phyllis Pike Suite 519,Boston,MA,Suffolk,40627,02118,35.829126,100.876962,28498.25,16087.04,39616,001-607-204-9574x901,annamartinez@example.com,330171682,330102
d94e90ae-2170-4b32-ac69-927b9c4f90f8,1984-12-10,,855-74-9862,S29467531,X15993301,Ms.,Amber,Eric,Turner,,,M,black,nonhispanic,female,Mitchellton AZ US,8357 Brian Branch,Phoenix,AZ,Maricopa,07571,85006,-63.30663,-148.625274,22423.97,21330.73,44724,297.689.5593x234,ibaxter@example.org,330974617,330102
eae403e3-219e-4c4e-9007-1926f9c94853,1947-04-23,,319-01-2829,S75244815,X36261206,Mr.,Robert,,Zhang,,,D,other,nonhispanic,male,West Tina MA US,957 Michael Branch Apt. 676,Boston,MA,Suffolk,31185,02118,-8.809513,-0.012445,18475.87,6634.49,44015,493-364-4796x51745,pneal@example.net,030792078,030301
772797c4-e40f-4976-9cab-a0bbcb8ec294,1966-10-28,,826-05-4908,S94543902,X79936427,Mr.,Gregory,Jeanne,Grant,,,S,white,hispanic,male,Port Herbert MA US,78356 Tracy Court,Boston,MA,Suffolk,52230,02215,21.243084,-92.361641,21599.84,117308.96,14697,(340)795-3778x929,spearsvirginia@example.com,330172437,330102
46d1659a-e8d8-4674-9f58-ec70f7b2580b,1981-06-19,,564-50-4635,S79316045,X76448753,Mr.,David,Caitlin,Phillips,,,W,white,nonhispanic,male,Tamaraside GA US,877 Schmidt Turnpike,Savannah,GA,Chatham,45913,31404,-40.419337,34.488874,26609.55,20654.19,28333,3935005890,morganallison@example.com,140336958,140401
7865c70b-6f17-4435-819e-474e47ab40da,1960-07-25,,289-89-3310,S92630845,,Ms.,Claire,,Mcdowell,,Adams,S,black,nonhispanic,female,East Brittanyview AZ US,06858 David Parkway Apt. 192,Phoenix,AZ,Maricopa,48376,85006,-64.099007,102.441687,26435.96,7271.64,26818,+1-886-479-6382x2644,william44@example.net,330810169,330102
e90f4a0f-ad64-4564-911e-3754b9b97b43,1993-01-16,,655-81-3497,S67314643,,Ms.,Julie,Nathan,Roberts,,,S,other,nonhispanic,female,South Stacey IL US,71425 Butler Crossing,Chicago,IL,Cook,29379,60612,-18.916714,91.241968,28458.42,340269.69,93662,001-289-539-8442x1065,jermainejones@example.com,330525688,330102
fd75cc89-93e1-43d6-90fb-48995f7dacc6,1938-04-14,,469-03-7603,S97531168,X43891929,Ms.,Angela,Kenneth,Shelton,,,W,white,nonhispanic,female,West Jefferyland AZ US,289 Lucero Trafficway Suite 465,Phoenix,AZ,Maricopa,27951,85006,-89.449274,110.500681,30212.71,476.53,13974,635.986.9171,johnsondaniel@example.com,110355898,110501
af1a5a2f-4d7f-4ce6-9069-d6493a21a3c1,1961-06-30,,640-53-1115,S86686002,,Ms.,Kimberly,,Mercado,,,M,white,nonhispanic,female,South Joshuaton AZ US,8352 Foster Station,Phoenix,AZ,Maricopa,16278,85006,-71.79396,79.001865,13504.44,94035.99,89379,9977587350,mary19@example.com,050385929,050201
2b53391f-5965-4ebd-bd87-ef31825937a0,1979-10-30,,817-97-1317,S73915766,,Mr.,John,Pamela,Trevino,,,D,white,nonhispanic,male,Jameston TX US,839 Courtney Ferry Suite 870,Austin,TX,Travis,12841,78702,-5.624645,-39.02061,30373.94,31534.53,44768,001-259-641-1345x7458,stevenjones@example.com,330591615,330101
51714ea6-3735-48bf-9e97-943a79220b95,1946-10-26,,383-44-6669,S46594072,,Ms.,Linda,Katie,Elliott,,,,other,nonhispanic,female,South Jesse CA US,6347 Elizabeth Meadow Suite 041,Oakland,CA,Alameda,27127,94609,18.628296,123.254529,158311.77,13702.48,38597,+1-945-597-5723x23574,ushelton@example.com,330886177,330102
cd706df2-886d-4046-a22b-54553aaf2425,1996-04-13,,210-78-6307,S52348523,,Ms.,Monique,,French,,,S,black,hispanic,female,South Mark MA US,362 Garcia Island Apt. 198,Boston,MA,Suffolk,10526,02118,63.883699,157.474995,70595.16,42339.42,8663,+1-937-251-6829x354,lancevaughn@example.net,330655029,330102
