Id,BirthDate,DeathDate,SSN,Drivers,Passport,Prefix,First,Middle,Last,Suffix,Maiden,Marital,Race,Ethnicity,Gender,BirthPlace,Address,City,State,County,FIPS County Code,Zip,Lat,Lon,Healthcare_Expenses,Healthcare_Coverage,Income,phone,email,is_high_risk,mrn,source_facility_id
98641b5d-b6ad-4bf4-9e2d-3ea00bd05a79,1994-07-15,,650-49-2949,S48026967,,Ms.,Kelli,,Snyder,,,D,white,nonhispanic,unknown,Singhmouth MA US,81124 Rogers Tunnel,Boston,MA,Suffolk,51256,02118,15.433929,6.339699,33575.41,146590.29,41548,248-667-4493,scott85@example.net,0,330770357,330102
62f15fc5-659b-41e2-a7af-5012b61d1dd3,1960-06-20,,625-18-6671,S61947792,,Mr.,Paul,Nicole,Solis,,,M,other,nonhispanic,male,Dawsonhaven AZ US,961 Horton Courts Suite 929,Phoenix,AZ,Maricopa,06637,85006,-89.416544,70.961598,43250.82,76657.96,40005,3008940534,samantha13@example.com,0,330859792,330102
30e082ea-b5f3-48df-9e16-fc422a3bc086,1947-08-30,,281-56-4291,S74697421,,Ms.,Sydney,Frederick,Mcguire,,Williams,,other,nonhispanic,female,North Debra GA US,8843 Dakota Mall,Savannah,GA,Chatham,16994,31404,46.929918,102.117076,41542.24,17749.88,28418,001-324-348-6730x60792,dsmith@example.org,0,330614170,330101
e3472040-a333-4c9b-ad31-4d20b3842816,1924-12-18,,132-09-7632,S83306242,,Mr.,Brandon,,Cooper,,,W,white,hispanic,male,Donaldchester AZ US,74790 Lisa Course Suite 562,Phoenix,AZ,Maricopa,36138,85006,38.23838,14.76807,19866.13,34783.74,102194,001-972-987-9380,jasmine03@example.net,0,330759799,330102
6117be73-dcb1-486e-97b1-966dbe62049c,1954-09-08,,405-66-0476,S92735275,X76113205,Mr.,Anthony,Brandon,Collins,,,S,white,nonhispanic,male,Olsenborough AZ US,588 Gonzales Plain Apt. 035,Phoenix,AZ,Maricopa,11747,85006,44.930494,-102.400139,24751.85,14687.95,56124,(434)879-7452,smithsandra@example.net,0,330771161,330102
f908d885-c072-4f14-b21d-55f5da286e99,1984-11-14,,635-24-5999,S63442998,,Ms.,Teresa,James,Watson,,,D,white,nonhispanic,female,Lewiston IL US,7468 Jones Village,Chicago,IL,Cook,47382,60612,58.06124,50.737476,11838.63,84874.23,28127,+1-466-267-3106x5968,kimberlyzimmerman@example.org,0,050511682,050201
bfe6717a-496b-42b5-b8ee-55024c7c9e72,1953-02-05,,769-90-9854,S59633976,,Mr.,Anthony,,Williams,,,,white,nonhispanic,male,Hernandezmouth GA US,853 Mcdowell Walk Suite 751,Savannah,GA,Chatham,40922,31404,64.08288,-116.66945,45417.36,16630.7,67061,623.408.4223x9058,perezsteven@example.net,0,330970818,330102
58f32170-3706-4bfd-bcc8-631aa0672295,1972-12-27,,481-62-9075,S14658298,,Ms.,Megan,Philip,Long,,,M,other,hispanic,female,Lawrencechester CA US,6441 Daniels Valley Apt. 050,Oakland,CA,Alameda,50755,94609,-68.746881,-169.19811,35769.19,1299.05,93035,979.585.3836,brettbullock@example.net,0,330805878,330102
5b1bd1cb-62a0-4b34-ba4c-8efc9c035cf0,1942-07-17,,629-79-4753,S51344600,,Ms.,Heather,,Trevino,,Thompson,D,white,nonhispanic,female,Maryfort IL US,17502 Susan Extensions,Chicago,IL,Cook,18587,60612,-14.55656,76.37677,17288.96,26041.31,17259,(375)713-0009x164,josephcarter@example.org,1,330292258,330101
5a786214-e8fe-40db-8adc-c2a80f05634c,1988-12-17,,605-94-1980,S52959452,,Ms.,Heather,,Fields,,,W,other,nonhispanic,female,Julieport GA US,63352 Erin Road Suite 293,Savannah,GA,Chatham,15030,31404,50.562197,48.107927,8946.45,13747.91,31699,796-555-4502,bross@example.net,0,110697319,110501
1c514496-0e16-46c3-a47d-3f06c675d3fb,1946-04-10,,517-14-4640,S27661741,,Ms.,Sandra,,Parks,,Smith,D,white,nonhispanic,female,North Robin MA US,4321 Jackson Cape Apt. 325,Boston,MA,Suffolk,01822,02118,-57.242216,45.187193,78148.8,10708.22,68653,(691)265-8464,brittany41@example.com,0,330407077,330102
ff144f39-2f5e-4c9e-9dee-c7b9720c3f7a,1997-06-10,,722-05-4216,S25769844,X25876043,Ms.,Tracey,Oscar,Walker,,,S,black,nonhispanic,female,Lake Nicoleview MA US,055 Laura Causeway Suite 475,Boston,MA,Suffolk,52453,02215,77.168659,145.355015,62697.53,36090.25,76966,4105585723,hansonkevin@example.com,0,140897322,140401
