Id,BirthDate,DeathDate,SSN,Drivers,Passport,Prefix,First,Middle,Last,Suffix,Maiden,Marital,Race,Ethnicity,Gender,BirthPlace,Address,City,State,County,FIPS County Code,Zip,Lat,Lon,Healthcare_Expenses,Healthcare_Coverage,Income,phone,email,is_high_risk,mrn,source_facility_id
1a28d91f-a632-4d49-a4e2-9bd2514f2c95,1987-08-13,,757-07-2266,S48840000,,Mr.,Andre,Tony,Alvarez,,,D,white,nonhispanic,male,Markfort GA US,958 Angela Bypass Apt. 713,Savannah,GA,Chatham,28992,31404,-63.999322,107.603102,18541.68,40591.46,69114,+1-811-852-3754x97065,jennifer05@example.net,0,330695530,330102
70c2d08c-b8fc-4987-8b95-ed5ba6cb1843,1999-06-11,,136-49-3295,S49424909,,Mr.,Christopher,Lisa,Howard,,,,black,nonhispanic,male,East Sally MA US,845 Hodge Spurs Apt. 911,Boston,MA,Suffolk,04100,02215,19.16092,7.253747,45088.77,28102.99,165796,876-300-6802x086,scott07@example.net,0,330393855,330102
11d12ae8-56ba-480c-bbea-c879a6de1bc1,1993-01-20,,498-86-3059,S97658836,X46372548,Ms.,Sabrina,Steven,Meyer,,,M,white,nonhispanic,female,East Corey TX US,85042 Mark Stravenue,Austin,TX,Travis,22950,78702,-45.766868,-148.220711,11256.65,11093.19,24652,+1-280-735-4389x33306,christianmoore@example.net,0,140528546,140401
5070a8a7-2c85-4cca-b3c3-232df55ea41b,1967-02-04,,155-63-8296,S88285506,X54164230,Mr.,Joseph,Cheryl,Harris,,,W,white,nonhispanic,male,Deborahton MA US,1631 Hester Manors,Boston,MA,Suffolk,04771,02118,-21.451458,-56.387276,97038.48,18649.06,15280,647.941.1210x071,swashington@example.org,1,050205420,050201
e0f0317e-5afb-4325-9e21-d21cdba9a13c,1980-05-24,,322-91-5051,S84984648,,Mr.,Benjamin,,Schroeder,,,M,black,nonhispanic,male,South Patriciafurt CA US,01351 Thomas Tunnel,Oakland,CA,Alameda,10182,94609,-47.766757,-102.204566,36148.23,67507.09,34548,856-796-4879x43006,hwalker@example.org,0,330159754,330102
04942bb7-c690-4919-a2ac-ceb21eccf825,1971-03-17,,112-52-8365,S97565224,,Mr.,Douglas,David,Cruz,,,W,white,nonhispanic,male,East Nancy GA US,57767 Stephanie Freeway Apt. 005,Savannah,GA,Chatham,03253,31404,0.544235,-102.98953,26433.35,3316.99,69362,001-886-437-1958,steven86@example.net,0,330378993,330101
56dcc453-b644-485a-a66a-abff16dba963,1977-04-05,,775-96-5142,S80652764,,Mr.,Danny,,Webster,,,D,white,nonhispanic,male,North Christopherton IL US,738 Edwards Viaduct Apt. 340,Chicago,IL,Cook,36682,60612,-24.804585,95.209129,47879.22,21167.48,22582,220.984.3790,jyoung@example.net,0,030561876,030301
27dd6bcc-a8f6-47a1-9989-bc560352a290,1932-04-21,,202-82-0814,S89055563,X85265015,Mr.,David,,Saunders,,,M,white,hispanic,male,Conleyport MA US,624 Garcia Mountains,Boston,MA,Suffolk,17605,02118,73.711676,131.531117,4255.48,14747.4,27625,(796)697-2812,richardsmegan@example.net,0,140378145,140401
fae1e7ba-ff0b-4a4e-864e-d73b444830b1,1994-06-06,,894-45-2012,S45532610,X11708233,Ms.,Mary,Samuel,King,,Hood,D,white,nonhispanic,female,Port Johnville CA US,0631 Michelle Path,Oakland,CA,Alameda,41688,94609,-71.028708,10.326199,28666.1,17109.07,35977,+1-880-870-8065,mitchell16@example.net,0,140397932,140401
26d29818-f028-426a-a689-423a9697775e,1964-09-23,,522-44-0879,S51761210,X51597020,Ms.,Lisa,,Howard,,Watson,D,black,nonhispanic,female,Port Bryanshire MA US,0970 James Green Suite 615,Boston,MA,Suffolk,15532,02118,-7.89919,-59.686495,38736.11,52334.78,19368,001-320-516-8063x1165,kcowan@example.com,0,330484159,330102
