Id,BirthDate,DeathDate,SSN,Drivers,Passport,Prefix,First,Middle,Last,Suffix,Maiden,Marital,Race,Ethnicity,Gender,BirthPlace,Address,City,State,County,FIPS County Code,Zip,Lat,Lon,Healthcare_Expenses,Healthcare_Coverage,Income,phone,email,is_high_risk,mrn,source_facility_id
2fc1bdd6-652a-43e2-87fb-d331811161ab,1966-05-29,,830-77-7348,S26319423,,Mr.,Alan,Diana,Ali,,,W,white,nonhispanic,male,Dunnberg CA US,0510 Green Inlet,Oakland,CA,Alameda,40009,94609,-79.684046,15.112058,22683.3,10410.88,24392000,(820)200-2216,melissa09@example.org,0,330311470,330101
8482cc20-368a-4e28-9772-ef7f7daf5064,1955-04-13,,713-45-0169,S84825395,X22310869,Mr.,David,,Smith,,,D,white,nonhispanic,male,West John MA US,8697 King Dam,Boston,MA,Suffolk,24582,02118,-15.067121,-67.74765,26402.19,7601.11,67304,638-632-5131x59459,fnelson@example.org,1,330782102,330101
3ba1367a-36e7-4cab-af5f-9b87fbb1e1c8,1995-01-09,,634-61-1158,S47273867,X28534459,Mr.,Walter,Carrie,Thomas,,,D,white,nonhispanic,male,Savageville TX US,3837 Hernandez Islands Apt. 247,Austin,TX,Travis,18192,78702,32.147478,-166.98821,177150.09,65600.2,40912,001-221-291-6940,sjones@example.com,0,140426705,140401
b0d1ee41-15b3-4011-a25d-22bae926af08,1970-03-23,,757-11-1060,S10018632,,Ms.,Ashley,Jessica,Howell,,,D,white,nonhispanic,female,Wilkinsonburgh MA US,81787 Barbara Pines,Boston,MA,Suffolk,34082,02215,-66.863195,-163.101666,30371.07,3876.81,77829,(209)820-2534,rodriguezrobert@example.net,0,140388365,140401
7709ed02-df90-46d7-a29c-7ccbebb2002e,1979-11-07,,721-04-4445,S50414426,,Mr.,Justin,,Page,,,D,white,nonhispanic,male,Ashleyton AZ US,86226 Rodriguez Common Suite 271,Phoenix,AZ,Maricopa,33421,85006,81.69843,-47.233907,24502.47,6504.79,60842,574.486.2519x275,uevans@example.net,0,140401081,140401
dffea4c9-160f-4b23-8651-b1f36af6c643,1988-04-15,,259-75-2311,S35774248,,Mr.,Travis,,Williams,,,W,white,nonhispanic,male,Port Donaldshire MA US,2435 Richard Avenue Suite 170,Boston,MA,Suffolk,35749,02118,53.89576,173.211189,22748.3,11503.03,61090,397.536.6581x59646,mperez@example.org,0,330905282,330101
bdb8feab-2d30-4ed3-b643-7fd6bcddbe5c,2013-11-17,,027-78-5173,,X61770186,,Valerie,,Hansen,,,W,white,nonhispanic,female,West Joseberg TX US,97269 Hayes Well Suite 158,Austin,TX,Travis,45966,78702,-82.300215,-12.343525,20489.99,9484.74,39181,479.873.8559x655,richardrobinson@example.org,0,330976488,330101
b905a9c3-f2d8-4b11-919a-8584396d0d76,1973-08-04,,861-14-0795,S49830628,X75109390,Ms.,Sara,Tammy,George,,,M,white,nonhispanic,female,Colemanview GA US,767 Samantha Rapids Apt. 361,Savannah,GA,Chatham,23989,31404,-70.081311,-20.049123,30036.01,16700.87,63476,(248)461-8850,eduardo41@example.com,0,330586445,330102
8cf92bfb-b7d4-4120-ae6a-664ed91bd13a,2001-09-02,,471-23-7471,S44881370,,Ms.,Tiffany,Jeffrey,Dawson,,,,asian,nonhispanic,female,West Carrie CA US,27855 Douglas Plaza Suite 599,Oakland,CA,Alameda,34384,94609,-55.305022,-46.077074,13265.07,56449.64,31937,564.999.1021x90830,victoriaroberts@example.org,0,330845786,330101
7d1d2cde-46e0-42ce-8050-0e0ae64861cf,1955-04-14,,675-96-6812,S61903938,X28465656,Mr.,Steven,Tracey,Miller,,,M,white,nonhispanic,male,Brooksmouth IL US,089 Timothy Forks,Chicago,IL,Cook,22794,60612,-21.933656,168.909342,18634.79,8108.29,35442,(565)790-9791,bphelps@example.com,0,330156928,330101
